{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.304549578449155 3.643341911437261
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.7258049183910202 2.862579876504455
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.6956758434621975 2.932806793429876
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.1347077840737256 2.5998888964442344
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.308417852362794 1.8259364491475836
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.2757556303809565 2.3286622742004326
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 0.014481169041602016 2.6591472362480744
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.584630029937955 2.0696878788152233
Added to tree (4, -1) parent (5, -1)
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.178951817282041 3.319903052307403
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.7136541354744566 0.5135283221733502
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.34446840170926407 3.8226441908059527
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.9348638567417424 2.6870165107393333
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.4322913409341425 1.5434821287338352
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.217900850206263 3.8491558777445007
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -4.200645971513694 1.4163292115260617
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.5288848166468654 1.2177150397600656
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.1538801615697025 1.719789493444864
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.5315030229594697 2.806338950226511
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.9145695391204072 2.042298129534256
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.9484849935471686 2.86675293926411
Added to tree (4, 0) parent (4, -1)
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.34648599752353 3.5869639956140453
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.2624126576994286 2.265965724092343
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.7103362755430283 0.865910963051828
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -3.8726091412755466 0.06455523948438824
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.6548177100255543 0.11153291398168719
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -5.05894856656883 0.675066671925677
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.255741562330371 0.6955547313171238
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.777513850860572 1.0184493382823163
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.7863670432360266 0.538175350233157
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.518212433137478 0.537016579011599
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.836782318372883 -0.331065077002652
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -5.221407156346288 1.2270477459754616
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -4.275004549258995 0.361553512438066
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.102174391772735 1.1561225925274012
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -3.275454872764044 1.3075189371555531
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -4.415963000879174 0.726556978422515
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.788531340306804 -2.0327268037453745
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.857054157407447 -0.9364970825213064
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.1997636928969087 0.8623414769139046
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.9708635148813585 1.1325005581413823
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.580440794848869 -0.47659912447216435
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.754620835194345 -0.49074958247361167
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.0240861710444165 -0.07050604962061158
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -3.5598986047017718 -1.0515853454355497
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.8163672264988975 -2.2564595478851075
